# civil-holidays v1
# jurisdiction: DJ
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Djibouti
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Names are rendered
#   in fr via vacanza's own language support (language='fr'), which
#   is the jurisdiction's own official-language rendering as vacanza
#   publishes it -- not independently re-verified against the government
#   gazette, per the house rule that permits vacanza-derived data as long
#   as it is flagged as such. Movable/lunar/lunisolar holidays with no
#   closed-form rule modelled here are captured as 'decree' (explicit
#   per-year dates) for 2024-2025, silent outside those years rather than
#   fabricated. Observed/bridge/in-lieu shifted-day artifacts
#   ("(observed)"/"(observado)"/"(observada)" suffixed rows) were dropped
#   as out of scope; "(estimated)"-style annotation suffixes were stripped
#   and merged into the base holiday. Multi-day clusters that do not
#   reduce to a single fixed or Easter-offset rule are split into one row
#   per calendar day, numbered "(1)", "(2)", ....
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#

fixed         | Nouvel an                                | 1 1                  | public          |  |  |  |
decree        | Al Isra et Al Mirague (estimé)           | 2024-2-8 2025-1-27 2026-1-16 2027-1-5 2027-12-25   | public          |  |  |  |
decree        | Eid al-Fitr (estimé)                     | 2024-4-10 2025-3-30 2026-3-20 2027-3-9  | public          |  |  |  || eid_al_fitr
decree        | Eid al-Fitr deuxième jour (estimé)       | 2024-4-11 2025-3-31 2026-3-21 2027-3-10  | public          |  |  |  |
fixed         | Fête du travail                          | 5 1                  | public          |  |  |  |
decree        | Arafat (estimé)                          | 2024-6-15 2025-6-5 2026-5-26 2027-5-15   | public          |  |  |  |
decree        | Eid al-Adha (estimé)                     | 2024-6-16 2025-6-6 2026-5-27 2027-5-16   | public          |  |  |  || eid_al_adha
decree        | Eid al-Adha deuxième jour (estimé)       | 2024-6-17 2025-6-7 2026-5-28 2027-5-17   | public          |  |  |  |
fixed         | Fête de l'indépendance                   | 6 27                 | public          |  |  |  |
fixed         | Fête de l'indépendance deuxième jour     | 6 28                 | public          |  |  |  |
decree        | Nouvel an musulman (estimé)              | 2024-7-7 2025-6-26 2026-6-16 2027-6-6   | public          |  |  |  |
decree        | Anniversaire du prophète Muhammad (estimé) | 2024-9-15 2025-9-4 2026-8-25 2027-8-14   | public          |  |  |  || mawlid
fixed         | Noël                                     | 12 25                | public          |  |  |  |
